LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
ARSC_STAAU, (P0A006) (ARSC_STAAU)
WP_045221430.1, Desulfonatronum_thioautotrophicum (WP_045221430.1)
WP_047437019.1, Chryseobacterium_sp._YR561 (WP_047437019.1)
WP_047479013.1, Chryseobacterium_sp._CF356 (WP_047479013.1)
WP_048400368.1, Candidatus_Achromatium_palustre (WP_048400368.1)
WP_049675617.1, Desulfocarbo_indianensis (WP_049675617.1)
WP_054940712.1, Paenibacillus_sp._GD6 (WP_054940712.1)
WP_054968850.1, Alicyclobacillus_ferrooxydans (WP_054968850.1)
WP_056528877.1, Bacillus_sp._Leaf13 (WP_056528877.1)
WP_058095823.1, Alicyclobacillus_tengchongensis (WP_058095823.1)
WP_063714599.1, Leptolyngbya_valderiana (WP_063714599.1)
WP_066000011.1, Mucilaginibacter_sp._PPCGB_2223 (WP_066000011.1)
WP_066091770.1, Bacillus_novalis (WP_066091770.1)
WP_066306997.1, Bacillus_sp._FJAT-29814 (WP_066306997.1)
WP_066368508.1, Bacillus_fumarioli (WP_066368508.1)
WP_066404293.1, Flavisolibacter_tropicus (WP_066404293.1)
WP_067623257.1, Alicyclobacillus_acidiphilus (WP_067623257.1)
WP_067929635.1, Alicyclobacillus_shizuokensis (WP_067929635.1)
WP_067936431.1, Alicyclobacillus_kakegawensis (WP_067936431.1)
WP_068259190.1, Rubripirellula_obstinata (WP_068259190.1)
WP_072872981.1, Alicyclobacillus_sp._USBA-503 (WP_072872981.1)
WP_072874548.1, Alicyclobacillus_sp._USBA-503 (WP_072874548.1)
WP_073040926.1, Desulfacinum_infernum (WP_073040926.1)
WP_075426880.1, Candidatus_Kryptonium_thompsoni (WP_075426880.1)
WP_077341165.1, Colwellia_agarivorans (WP_077341165.1)
WP_077409417.1, Marinicella_sp._F2 (WP_077409417.1)
WP_077541149.1, Phycisphaerae_bacterium_L21-RPul-D3 (WP_077541149.1)
WP_078346178.1, Mucilaginibacter_pedocola (WP_078346178.1)
WP_084992135.1, Bacillus_subtilis (WP_084992135.1)
WP_085098603.1, Desulfovibrio_sp._K3S (WP_085098603.1)
WP_088089760.1, Bacillus (WP_088089760.1)
WP_088103668.1, Bacillus_sp._45385 (WP_088103668.1)
WP_088114382.1, Bacillus_cereus_group (WP_088114382.1)
WP_090651477.1, Mucilaginibacter_sp._OK283 (WP_090651477.1)
WP_090663102.1, Parafilimonas_terrae (WP_090663102.1)
WP_090818991.1, Paenibacillus_sp._yr247 (WP_090818991.1)
WP_091376160.1, Mucilaginibacter_mallensis (WP_091376160.1)
WP_092122735.1, Desulfonatronum_thiosulfatophilum (WP_092122735.1)
WP_092190523.1, Desulfomicrobium_norvegicum (WP_092190523.1)
WP_092999101.1, Thiohalomonas_denitrificans (WP_092999101.1)
WP_093396197.1, Thermodesulforhabdus_norvegica (WP_093396197.1)
WP_094082804.1, Prosthecochloris_sp._GSB1 (WP_094082804.1)
