NCBI.ID.x,Type,Color
NC_008542,label,#7FC97F
NC_008542,label,#7FC97F
NC_008543,label,#7FC97F
NC_008543,label,#7FC97F
NC_008543,label,#7FC97F
NC_008543,label,#7FC97F
NC_008543,label,#7FC97F
NC_008544,label,#7FC97F
NC_008544,label,#7FC97F
NC_008544,label,#7FC97F
NC_008544,label,#7FC97F
NC_008544,label,#7FC97F
NC_008593,label,#E6AB02
NC_008595,label,#F4CAE4
NC_008595,label,#F4CAE4
NC_008595,label,#F4CAE4
NC_008609,label,#7FC97F
NC_008609,label,#7FC97F
NC_008609,label,#7FC97F
NC_008609,label,#7FC97F
NC_008639,label,#1F78B4
NC_008639,label,#1F78B4
NC_008639,label,#1F78B4
NC_008699,label,#F4CAE4
NC_008699,label,#F4CAE4
NC_008699,label,#F4CAE4
NC_008700,label,#7FC97F
NC_008700,label,#7FC97F
NC_008702,label,#7FC97F
NC_008702,label,#7FC97F
NC_008702,label,#7FC97F
NC_008705,label,#F4CAE4
NC_008705,label,#F4CAE4
NC_008705,label,#F4CAE4
NC_008705,label,#F4CAE4
NC_008705,label,#F4CAE4
NC_008710,label,#F0027F
NC_008710,label,#F0027F
NC_008710,label,#F0027F
NC_008710,label,#F0027F
NC_008710,label,#F0027F
NC_008710,label,#F0027F
NC_008710,label,#F0027F
NC_008710,label,#F0027F
NC_008710,label,#F0027F
NC_008711,label,#F4CAE4
NC_008711,label,#F4CAE4
NC_008711,label,#F4CAE4
NC_008740,label,#7FC97F
NC_008740,label,#7FC97F
NC_008740,label,#7FC97F
NC_008740,label,#7FC97F
NC_008752,label,#7FC97F
NC_008752,label,#7FC97F
NC_008781,label,#7FC97F
NC_008781,label,#7FC97F
NC_008781,label,#7FC97F
NC_008781,label,#7FC97F
NC_008781,label,#7FC97F
NC_008781,label,#7FC97F
NC_008781,label,#7FC97F
NC_008781,label,#7FC97F
NC_008781,label,#7FC97F
NC_008781,label,#7FC97F
NC_008782,label,#7FC97F
NC_008782,label,#7FC97F
NC_008782,label,#7FC97F
NC_008782,label,#7FC97F
NC_008782,label,#7FC97F
NC_008782,label,#7FC97F
NC_008786,label,#7FC97F
NC_008786,label,#7FC97F
NC_008789,label,#7FC97F
NC_008789,label,#7FC97F
NC_008789,label,#7FC97F
NC_008825,label,#7FC97F
NC_008825,label,#7FC97F
NC_008825,label,#7FC97F
NC_009012,label,#E6AB02
NC_009049,label,#7FC97F
NC_009049,label,#7FC97F
NC_009049,label,#7FC97F
NC_009049,label,#7FC97F
NC_009050,label,#7FC97F
NC_009050,label,#7FC97F
NC_009050,label,#7FC97F
NC_009050,label,#7FC97F
NC_009074,label,#7FC97F
NC_009074,label,#7FC97F
NC_009074,label,#7FC97F
NC_009075,label,#7FC97F
NC_009075,label,#7FC97F
NC_009075,label,#7FC97F
NC_009076,label,#7FC97F
NC_009076,label,#7FC97F
NC_009076,label,#7FC97F
NC_009077,label,#F4CAE4
NC_009077,label,#F4CAE4
NC_009077,label,#F4CAE4
NC_009077,label,#F4CAE4
NC_009078,label,#7FC97F
NC_009078,label,#7FC97F
NC_009078,label,#7FC97F
NC_009142,label,#F4CAE4
NC_009254,label,#7FC97F
NC_009254,label,#7FC97F
NC_009254,label,#7FC97F
NC_009254,label,#7FC97F
NC_009254,label,#7FC97F
NC_009254,label,#7FC97F
NC_009254,label,#7FC97F
NC_009254,label,#7FC97F
NC_009254,label,#7FC97F
NC_009254,label,#7FC97F
NC_009255,label,#7FC97F
NC_009255,label,#7FC97F
NC_009255,label,#7FC97F
NC_009255,label,#7FC97F
NC_009255,label,#7FC97F
NC_009255,label,#7FC97F
NC_009255,label,#7FC97F
NC_009255,label,#7FC97F
NC_009255,label,#7FC97F
NC_009255,label,#7FC97F
NC_009256,label,#7FC97F
NC_009256,label,#7FC97F
NC_009256,label,#7FC97F
NC_009256,label,#7FC97F
NC_009256,label,#7FC97F
NC_009256,label,#7FC97F
NC_009256,label,#7FC97F
NC_009256,label,#7FC97F
NC_009256,label,#7FC97F
NC_009256,label,#7FC97F
NC_009328,label,#E6AB02
NC_009328,label,#E6AB02
NC_009328,label,#E6AB02
NC_009328,label,#E6AB02
NC_009338,label,#F4CAE4
NC_009338,label,#F4CAE4
NC_009338,label,#F4CAE4
NC_009338,label,#F4CAE4
NC_009338,label,#F4CAE4
NC_009338,label,#F4CAE4
NC_009338,label,#F4CAE4
NC_009342,label,#F4CAE4
NC_009342,label,#F4CAE4
NC_009342,label,#F4CAE4
NC_009342,label,#F4CAE4
NC_009380,label,#F4CAE4
NC_009428,label,#7FC97F
NC_009428,label,#7FC97F
NC_009428,label,#7FC97F
NC_009428,label,#7FC97F
NC_009428,label,#7FC97F
NC_009428,label,#7FC97F
NC_009434,label,#7FC97F
NC_009434,label,#7FC97F
NC_009434,label,#7FC97F
NC_009434,label,#7FC97F
NC_009436,label,#7FC97F
NC_009436,label,#7FC97F
NC_009436,label,#7FC97F
NC_009438,label,#7FC97F
NC_009438,label,#7FC97F
NC_009438,label,#7FC97F
NC_009438,label,#7FC97F
NC_009438,label,#7FC97F
NC_009438,label,#7FC97F
NC_009438,label,#7FC97F
NC_009439,label,#7FC97F
NC_009439,label,#7FC97F
NC_009441,label,black
NC_009441,label,black
NC_009441,label,black
NC_009441,label,black
NC_009445,label,#7FC97F
NC_009455,label,#999999
NC_009455,label,#999999
NC_009455,label,#999999
NC_009480,label,#F4CAE4
NC_009480,label,#F4CAE4
NC_009480,label,#F4CAE4
NC_009483,label,#7FC97F
NC_009483,label,#7FC97F
NC_009483,label,#7FC97F
NC_009484,label,#7FC97F
NC_009484,label,#7FC97F
NC_009484,label,#7FC97F
NC_009484,label,#7FC97F
NC_009484,label,#7FC97F
NC_009484,label,#7FC97F
NC_009484,label,#7FC97F
NC_009484,label,#7FC97F
NC_009484,label,#7FC97F
NC_009484,label,#7FC97F
NC_009494,label,#7FC97F
NC_009504,label,#7FC97F
NC_009504,label,#7FC97F
NC_009505,label,#7FC97F
NC_009505,label,#7FC97F
NC_009511,label,#7FC97F
NC_009511,label,#7FC97F
NC_009511,label,#7FC97F
NC_009511,label,#7FC97F
NC_009512,label,#7FC97F
NC_009512,label,#7FC97F
NC_009524,label,#7FC97F
NC_009524,label,#7FC97F
NC_009524,label,#7FC97F
NC_009524,label,#7FC97F
NC_009565,label,#F4CAE4
NC_009565,label,#F4CAE4
NC_009617,label,#E6AB02
NC_009617,label,#E6AB02
NC_009648,label,#7FC97F
NC_009648,label,#7FC97F
NC_009648,label,#7FC97F
NC_009648,label,#7FC97F
NC_009648,label,#7FC97F
NC_009648,label,#7FC97F
NC_009648,label,#7FC97F
NC_009648,label,#7FC97F
NC_009648,label,#7FC97F
NC_009648,label,#7FC97F
NC_009648,label,#7FC97F
NC_009654,label,#7FC97F
NC_009659,label,#7FC97F
NC_009659,label,#7FC97F
NC_009664,label,#F4CAE4
NC_009664,label,#F4CAE4
NC_009664,label,#F4CAE4
NC_009667,label,#7FC97F
NC_009667,label,#7FC97F
NC_009667,label,#7FC97F
NC_009667,label,#7FC97F
NC_009667,label,#7FC97F
NC_009667,label,#7FC97F
NC_009667,label,#7FC97F
NC_009668,label,#7FC97F
NC_009668,label,#7FC97F
NC_009668,label,#7FC97F
NC_009668,label,#7FC97F
NC_009668,label,#7FC97F
NC_009668,label,#7FC97F
NC_009668,label,#7FC97F
NC_009674,label,#E6AB02
NC_009674,label,#E6AB02
NC_009674,label,#E6AB02
NC_009675,label,#7FC97F
NC_009698,label,#E6AB02
NC_009698,label,#E6AB02
NC_009706,label,#E6AB02
NC_009706,label,#E6AB02
NC_009715,label,#7FC97F
NC_009720,label,#7FC97F
NC_009720,label,#7FC97F
NC_009720,label,#7FC97F
NC_009720,label,#7FC97F
NC_009720,label,#7FC97F
NC_009720,label,#7FC97F
NC_009725,label,#E6AB02
NC_009725,label,#E6AB02
NC_009792,label,#7FC97F
NC_009792,label,#7FC97F
