"OTU ID in (Rideout et al., 2014)",Phylum,RefSoil ID,Andisols,Gelisols,Vertisols,Mollisols,Inceptisols,Alfisols,Ultisols,"Sand,Rock,Ice",Entisols
New.36.CleanUp.ReferenceOTU1183812,Cyanobacteria/Chloroplast,"RefSoil_284,RefSoil_351",0,0,0,0,0,0,0,0,0
New.36.CleanUp.ReferenceOTU1382703,Firmicutes,RefSoil_878,0,0,0,0,0,0,0,0,0
New.38.CleanUp.ReferenceOTU85280,Cyanobacteria/Chloroplast,RefSoil_708,0,3,0,0,0,0,0,0,0
1010113,Proteobacteria,RefSoil_863,0,0,0,2,0,0,0,0,0
4480598,Firmicutes,RefSoil_326,0,0,0,0,0,0,0,0,0
830475,Firmicutes,RefSoil_371,0,0,0,5,0,0,0,0,0
1127819,Actinobacteria,RefSoil_465,0,0,0,30,0,0,0,0,0
New.42.CleanUp.ReferenceOTU24973,Proteobacteria,"RefSoil_81,RefSoil_120",0,0,0,0,0,0,0,0,0
New.42.CleanUp.ReferenceOTU25644,Proteobacteria,RefSoil_277,0,0,0,0,0,0,2,0,1
New.42.CleanUp.ReferenceOTU91488,Proteobacteria,RefSoil_130,0,0,0,0,0,0,0,0,2
New.42.CleanUp.ReferenceOTU370442,Proteobacteria,RefSoil_817,0,0,0,0,0,0,0,0,1
New.42.CleanUp.ReferenceOTU382938,Proteobacteria,RefSoil_919,0,0,0,0,0,0,33,0,61
141278,Spirochaetes,RefSoil_478,0,0,0,0,0,0,3,0,0
New.45.CleanUp.ReferenceOTU89862,Proteobacteria,RefSoil_308,0,0,0,0,0,0,1,0,0
29714,Chloroflexi,"RefSoil_12,RefSoil_85,RefSoil_182,RefSoil_363,RefSoil_375,RefSoil_739,RefSoil_740,RefSoil_816",0,0,0,0,0,0,0,0,0
16013,Firmicutes,RefSoil_758,0,0,0,0,0,0,0,0,0
960076,Bacteroidetes,RefSoil_512,0,0,0,15,0,0,0,0,0
508943,Proteobacteria,RefSoil_764,0,0,0,0,0,0,0,0,0
245495,Proteobacteria,"RefSoil_37,RefSoil_109,RefSoil_117,RefSoil_119,RefSoil_181,RefSoil_492,RefSoil_574,RefSoil_743",0,0,0,4,0,0,0,0,0
824855,Cyanobacteria/Chloroplast,RefSoil_710,0,0,0,0,0,0,0,0,0
New.52.CleanUp.ReferenceOTU8235,Bacteroidetes,RefSoil_349,0,0,0,0,0,0,0,0,0
New.52.CleanUp.ReferenceOTU21326,Firmicutes,RefSoil_629,0,0,0,8,0,0,0,0,0
New.52.CleanUp.ReferenceOTU27360,Firmicutes,RefSoil_316,0,0,0,0,0,0,0,0,0
New.52.CleanUp.ReferenceOTU32466,Actinobacteria,RefSoil_642,0,0,0,0,0,0,0,0,0
