DATASET_TEXT
SEPARATOR COMMA
DATASET_LABEL,phylum name
COLOR,#ff0000

#the following fields are possible for each node:
#ID,label,position,color,style,size_factor,rotation

#position defines the position of the text label on the tree:
#  -1 = external label
#  a number between 0 and 1 = internal label positioned at the specified value along the node branch (for example, position 0 is exactly at the start of node branch, position 0.5 is in the middle, and position 1 is at the end)
#style can be 'normal',''bold','italic' or 'bold-italic'
#size factor will be multiplied with the standard font size

DATA
#NCBI.ID.x,Phylum,outside,Color,font,size
NC_006582,Firmicutes,-1,#E6AB02,normal,1
NC_006582,Firmicutes,-1,#E6AB02,normal,1
NC_006831,Proteobacteria,-1,#7FC97F,normal,1
NC_006834,Proteobacteria,-1,#7FC97F,normal,1
NC_006905,Proteobacteria,-1,#7FC97F,normal,1
NC_006905,Proteobacteria,-1,#7FC97F,normal,1
NC_006905,Proteobacteria,-1,#7FC97F,normal,1
NC_006932,Proteobacteria,-1,#7FC97F,normal,1
NC_006932,Proteobacteria,-1,#7FC97F,normal,1
NC_006933,Proteobacteria,-1,#7FC97F,normal,1
NC_006933,Proteobacteria,-1,#7FC97F,normal,1
NC_006958,Actinobacteria,-1,#F4CAE4,normal,1
NC_006958,Actinobacteria,-1,#F4CAE4,normal,1
NC_006958,Actinobacteria,-1,#F4CAE4,normal,1
NC_007086,Proteobacteria,-1,#7FC97F,normal,1
NC_007164,Actinobacteria,-1,#F4CAE4,normal,1
NC_007164,Actinobacteria,-1,#F4CAE4,normal,1
NC_007168,Firmicutes,-1,#E6AB02,normal,1
NC_007168,Firmicutes,-1,#E6AB02,normal,1
NC_007168,Firmicutes,-1,#E6AB02,normal,1
NC_007168,Firmicutes,-1,#E6AB02,normal,1
NC_007168,Firmicutes,-1,#E6AB02,normal,1
NC_007168,Firmicutes,-1,#E6AB02,normal,1
NC_007168,Firmicutes,-1,#E6AB02,normal,1
NC_007168,Firmicutes,-1,#E6AB02,normal,1
NC_007168,Firmicutes,-1,#E6AB02,normal,1
NC_007204,Proteobacteria,-1,#7FC97F,normal,1
NC_007204,Proteobacteria,-1,#7FC97F,normal,1
NC_007298,Proteobacteria,-1,#7FC97F,normal,1
NC_007298,Proteobacteria,-1,#7FC97F,normal,1
NC_007298,Proteobacteria,-1,#7FC97F,normal,1
NC_007333,Actinobacteria,-1,#F4CAE4,normal,1
NC_007356,Chloroflexi,-1,#999999,normal,1
NC_007356,Chloroflexi,-1,#999999,normal,1
NC_007356,Chloroflexi,-1,#999999,normal,1
NC_007404,Proteobacteria,-1,#7FC97F,normal,1
NC_007404,Proteobacteria,-1,#7FC97F,normal,1
NC_007406,Proteobacteria,-1,#7FC97F,normal,1
NC_007406,Proteobacteria,-1,#7FC97F,normal,1
NC_007406,Proteobacteria,-1,#7FC97F,normal,1
NC_007434,Proteobacteria,-1,#7FC97F,normal,1
NC_007434,Proteobacteria,-1,#7FC97F,normal,1
NC_007434,Proteobacteria,-1,#7FC97F,normal,1
NC_007435,Proteobacteria,-1,#7FC97F,normal,1
NC_007435,Proteobacteria,-1,#7FC97F,normal,1
NC_007435,Proteobacteria,-1,#7FC97F,normal,1
NC_007492,Proteobacteria,-1,#7FC97F,normal,1
NC_007492,Proteobacteria,-1,#7FC97F,normal,1
NC_007492,Proteobacteria,-1,#7FC97F,normal,1
NC_007493,Proteobacteria,-1,#7FC97F,normal,1
NC_007493,Proteobacteria,-1,#7FC97F,normal,1
NC_007493,Proteobacteria,-1,#7FC97F,normal,1
NC_007493,Proteobacteria,-1,#7FC97F,normal,1
NC_007493,Proteobacteria,-1,#7FC97F,normal,1
NC_007493,Proteobacteria,-1,#7FC97F,normal,1
NC_007493,Proteobacteria,-1,#7FC97F,normal,1
NC_007493,Proteobacteria,-1,#7FC97F,normal,1
NC_007494,Proteobacteria,-1,#7FC97F,normal,1
NC_007494,Proteobacteria,-1,#7FC97F,normal,1
NC_007494,Proteobacteria,-1,#7FC97F,normal,1
NC_007494,Proteobacteria,-1,#7FC97F,normal,1
NC_007494,Proteobacteria,-1,#7FC97F,normal,1
NC_007494,Proteobacteria,-1,#7FC97F,normal,1
NC_007494,Proteobacteria,-1,#7FC97F,normal,1
NC_007494,Proteobacteria,-1,#7FC97F,normal,1
NC_007498,Proteobacteria,-1,#7FC97F,normal,1
NC_007508,Proteobacteria,-1,#7FC97F,normal,1
NC_007508,Proteobacteria,-1,#7FC97F,normal,1
NC_007508,Proteobacteria,-1,#7FC97F,normal,1
NC_007508,Proteobacteria,-1,#7FC97F,normal,1
NC_007508,Proteobacteria,-1,#7FC97F,normal,1
NC_007509,Proteobacteria,-1,#7FC97F,normal,1
NC_007509,Proteobacteria,-1,#7FC97F,normal,1
NC_007509,Proteobacteria,-1,#7FC97F,normal,1
NC_007509,Proteobacteria,-1,#7FC97F,normal,1
NC_007510,Proteobacteria,-1,#7FC97F,normal,1
NC_007510,Proteobacteria,-1,#7FC97F,normal,1
NC_007510,Proteobacteria,-1,#7FC97F,normal,1
NC_007510,Proteobacteria,-1,#7FC97F,normal,1
NC_007511,Proteobacteria,-1,#7FC97F,normal,1
NC_007511,Proteobacteria,-1,#7FC97F,normal,1
NC_007511,Proteobacteria,-1,#7FC97F,normal,1
NC_007511,Proteobacteria,-1,#7FC97F,normal,1
NC_007512,Chlorobi,-1,#1F78B4,normal,1
NC_007512,Chlorobi,-1,#1F78B4,normal,1
NC_007514,Chlorobi,-1,#1F78B4,normal,1
NC_007517,Proteobacteria,-1,#7FC97F,normal,1
NC_007517,Proteobacteria,-1,#7FC97F,normal,1
NC_007517,Proteobacteria,-1,#7FC97F,normal,1
NC_007517,Proteobacteria,-1,#7FC97F,normal,1
NC_007519,Proteobacteria,-1,#7FC97F,normal,1
NC_007519,Proteobacteria,-1,#7FC97F,normal,1
NC_007530,Firmicutes,-1,#E6AB02,normal,1
NC_007530,Firmicutes,-1,#E6AB02,normal,1
NC_007530,Firmicutes,-1,#E6AB02,normal,1
NC_007530,Firmicutes,-1,#E6AB02,normal,1
NC_007530,Firmicutes,-1,#E6AB02,normal,1
NC_007613,Proteobacteria,-1,#7FC97F,normal,1
NC_007613,Proteobacteria,-1,#7FC97F,normal,1
NC_007613,Proteobacteria,-1,#7FC97F,normal,1
NC_007613,Proteobacteria,-1,#7FC97F,normal,1
NC_007614,Proteobacteria,-1,#7FC97F,normal,1
NC_007614,Proteobacteria,-1,#7FC97F,normal,1
NC_007614,Proteobacteria,-1,#7FC97F,normal,1
NC_007614,Proteobacteria,-1,#7FC97F,normal,1
NC_007618,Proteobacteria,-1,#7FC97F,normal,1
NC_007618,Proteobacteria,-1,#7FC97F,normal,1
NC_007624,Proteobacteria,-1,#7FC97F,normal,1
NC_007624,Proteobacteria,-1,#7FC97F,normal,1
NC_007644,Firmicutes,-1,#E6AB02,normal,1
NC_007650,Proteobacteria,-1,#7FC97F,normal,1
NC_007650,Proteobacteria,-1,#7FC97F,normal,1
NC_007650,Proteobacteria,-1,#7FC97F,normal,1
NC_007651,Proteobacteria,-1,#7FC97F,normal,1
NC_007651,Proteobacteria,-1,#7FC97F,normal,1
NC_007651,Proteobacteria,-1,#7FC97F,normal,1
NC_007760,Proteobacteria,-1,#7FC97F,normal,1
NC_007761,Proteobacteria,-1,#7FC97F,normal,1
NC_007761,Proteobacteria,-1,#7FC97F,normal,1
NC_007761,Proteobacteria,-1,#7FC97F,normal,1
NC_007761,Proteobacteria,-1,#7FC97F,normal,1
NC_007761,Proteobacteria,-1,#7FC97F,normal,1
NC_007761,Proteobacteria,-1,#7FC97F,normal,1
NC_007761,Proteobacteria,-1,#7FC97F,normal,1
NC_007761,Proteobacteria,-1,#7FC97F,normal,1
NC_007775,Cyanobacteria,-1,#B3CDE3,normal,1
NC_007777,Actinobacteria,-1,#F4CAE4,normal,1
NC_007778,Proteobacteria,-1,#7FC97F,normal,1
NC_007778,Proteobacteria,-1,#7FC97F,normal,1
NC_007778,Proteobacteria,-1,#7FC97F,normal,1
NC_007794,Proteobacteria,-1,#7FC97F,normal,1
NC_007794,Proteobacteria,-1,#7FC97F,normal,1
NC_007794,Proteobacteria,-1,#7FC97F,normal,1
NC_007798,Proteobacteria,-1,#7FC97F,normal,1
NC_007880,Proteobacteria,-1,#7FC97F,normal,1
NC_007907,Firmicutes,-1,#E6AB02,normal,1
NC_007907,Firmicutes,-1,#E6AB02,normal,1
NC_007907,Firmicutes,-1,#E6AB02,normal,1
NC_007907,Firmicutes,-1,#E6AB02,normal,1
NC_007907,Firmicutes,-1,#E6AB02,normal,1
NC_007907,Firmicutes,-1,#E6AB02,normal,1
NC_007907,Firmicutes,-1,#E6AB02,normal,1
NC_007907,Firmicutes,-1,#E6AB02,normal,1
NC_007925,Proteobacteria,-1,#7FC97F,normal,1
NC_007925,Proteobacteria,-1,#7FC97F,normal,1
NC_007947,Proteobacteria,-1,#7FC97F,normal,1
NC_007947,Proteobacteria,-1,#7FC97F,normal,1
NC_007948,Proteobacteria,-1,#7FC97F,normal,1
NC_007948,Proteobacteria,-1,#7FC97F,normal,1
NC_007948,Proteobacteria,-1,#7FC97F,normal,1
NC_007958,Proteobacteria,-1,#7FC97F,normal,1
NC_007958,Proteobacteria,-1,#7FC97F,normal,1
NC_007958,Proteobacteria,-1,#7FC97F,normal,1
NC_007963,Proteobacteria,-1,#7FC97F,normal,1
NC_007963,Proteobacteria,-1,#7FC97F,normal,1
NC_007964,Proteobacteria,-1,#7FC97F,normal,1
NC_007964,Proteobacteria,-1,#7FC97F,normal,1
NC_007964,Proteobacteria,-1,#7FC97F,normal,1
NC_007964,Proteobacteria,-1,#7FC97F,normal,1
