,cen04,Iowa_agricultural01.3,Permafrost_Russia13.3,cen05,cen06,cen07,Mangrove70.3,Illinois_soil91.3,Mangrove02.3,Illinois_soybean40.3,Disney_preserve18.3,Permafrost_Canada23.3,California_grassland62.3,Brazilian_forest39.3,Illinois_soil88.3,Iowa_agricultural00.3,cen01,Iowa_corn22.3,cen03,Iowa_prairie76.3,cen17,California_grassland15.3,Minnesota_creek45.3,Iowa_corn23.3,cen15,cen16,Wyoming_soil22.3,Iowa_prairie72.3,Brazilian_forest54.3,Illinois_soybean42.3,Permafrost_Canada45.3,Minnesota_creek46.3,Brazilian_forest95.3,cen10,Disney_preserve25.3,cen14,cen13,cen12,Iowa_prairie75.3
OTU_0011,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0012,0.00470219435736677,0,0,0,0,0.00340909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119617224880383,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0013,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116822429906542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0015,0,0,0,0,0,0.00227272727272727,0.00327868852459016,0,0,0,0.0075187969924812,0,0,0,0,0,0.00116822429906542,0,0.00105374077976818,0,0.0116731517509728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0016,0.00156739811912226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0017,0,0,0,0,0,0,0.00327868852459016,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0018,0,0,0,0,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0019,0,0,0,0,0,0,0.0163934426229508,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0020,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0021,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0022,0,0,0,0,0,0,0.00327868852459016,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0023,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0024,0,0,0,0,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0025,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0026,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0027,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0028,0,0,0,0,0,0,0.00983606557377049,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0029,0,0,0,0,0,0,0.00327868852459016,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0030,0,0,0,0,0,0,0.00327868852459016,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0031,0,0,0,0,0,0,0.019672131147541,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0032,0,0,0,0,0,0.00113636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017940437746681,0,0,0,0.00046882325363338,0
OTU_0033,0,0,0,0,0,0,0.0131147540983607,0,0.0141509433962264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0034,0.00156739811912226,0,0,0,0,0.00227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000598086124401914,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0035,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0036,0,0,0,0,0,0,0.00327868852459016,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0037,0,0,0,0,0,0,0.00655737704918033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0038,0,0,0,0,0,0,0.00655737704918033,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0039,0,0,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0040,0,0,0,0.00134228187919463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105374077976818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0041,0,0,0,0,0,0,0.00327868852459016,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0,0,0,0,0,0,0,0
OTU_0043,0,0,0,0,0,0,0.00655737704918033,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0044,0,0,0,0,0,0,0.00655737704918033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0,0,0,0.00035880875493362,0,0,0,0,0
OTU_0046,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0,0,0,0
OTU_0048,0.00156739811912226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169014084507042,0,0,0
OTU_0049,0,0,0,0,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0050,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0051,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0052,0,0,0,0,0,0,0.00327868852459016,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0053,0.00156739811912226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0054,0,0,0,0,0,0,0.00655737704918033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0055,0.00156739811912226,0,0,0,0.0019723865877712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000662690523525514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0056,0,0,0,0,0,0,0.00655737704918033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0057,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143523501973448,0,0,0.000458085203847916,0,0
OTU_0059,0,0,0.0121951219512195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0060,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0061,0,0,0,0,0,0,0.00327868852459016,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0062,0,0,0,0,0,0,0.00655737704918033,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0063,0,0,0,0,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0064,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0065,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0066,0,0,0,0,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0067,0,0,0,0,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0068,0,0,0,0,0,0,0.00983606557377049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0069,0,0,0,0,0,0,0.00655737704918033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00350467289719626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0071,0,0,0,0,0,0,0.00327868852459016,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0072,0,0,0,0,0,0,0.00655737704918033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000458085203847916,0,0
OTU_0074,0.00156739811912226,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0075,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0076,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0.00862068965517241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0077,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0078,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00389105058365759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0080,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169491525423729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000662690523525514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0083,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0.00389105058365759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00389105058365759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0086,0,0,0,0,0,0,0.00655737704918033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0087,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0088,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0089,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0090,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0091,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0092,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0093,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035880875493362,0,0,0,0,0
OTU_0095,0,0,0,0,0.0019723865877712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046882325363338,0
OTU_0097,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00389105058365759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0099,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0100,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0101,0,0,0,0,0,0,0,0.0204081632653061,0,0,0,0,0,0,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0102,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0103,0,0,0,0,0.000986193293885602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0104,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0105,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0106,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0107,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0108,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0109,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0110,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0111,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0112,0,0,0,0.00134228187919463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0113,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0114,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000299043062200957,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119617224880383,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0118,0,0,0,0.00134228187919463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0119,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0120,0,0,0,0,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0121,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00389105058365759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0123,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0124,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0125,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0126,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0127,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0128,0,0,0,0,0,0,0,0.0204081632653061,0,0,0,0,0,0,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0129,0.00156739811912226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0130,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105374077976818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0132,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125598086124402,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0134,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0136,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0137,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0138,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0139,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0140,0.00156739811912226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0141,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
